,Answerable,Correct Knowledge Component,Solvable in 1 step,Grammatically Correct,Understandable,"Fluency, clarity, conciseness",Realistic,Average
gpt41,1.0,0.9720000000000001,0.97,0.9880000000000001,1.0,0.924,0.944,0.9711428571428572
qwen3,1.0,0.968,0.95,0.994,0.99,0.9259999999999999,0.9339999999999999,0.9660000000000001
gpt41nano,1.0,0.96,0.97,0.9880000000000001,0.99,0.9359999999999999,0.9040000000000001,0.9639999999999999
claude37sonnet,0.9800000000000001,0.95,0.95,0.982,0.9800000000000001,0.924,0.93,0.9565714285714286
deepseekr1,0.99,0.952,0.9400000000000001,0.99,0.9800000000000001,0.9260000000000002,0.9179999999999999,0.9565714285714286
gpt41mini,0.99,0.944,0.9099999999999999,0.994,0.99,0.9259999999999999,0.922,0.9537142857142857
llama33,0.99,0.9359999999999999,0.93,0.9879999999999999,0.9800000000000001,0.9019999999999999,0.8800000000000001,0.9437142857142857
deepseekr1distillqwen,1.0,0.9480000000000001,0.86,0.982,0.9800000000000001,0.9120000000000001,0.8939999999999999,0.9394285714285715
phi4,0.97,0.96,0.8300000000000001,0.986,1.0,0.916,0.9,0.9374285714285715
deepseekr1distillllama,1.0,0.9019999999999999,0.93,0.984,0.9800000000000001,0.882,0.826,0.929142857142857
llama4scout,0.99,0.898,0.8699999999999999,0.9640000000000001,0.99,0.89,0.892,0.9277142857142857
phi35mini,0.96,0.8539999999999999,0.86,0.96,0.9199999999999999,0.852,0.8320000000000001,0.8911428571428572
